Designator,Mid X,Mid Y,Rotation,Layer
C1,137.405,-78.45,90.0,top
C10,97.75,-58.73,180.0,top
C11,97.75,-55.72,180.0,top
C12,112.75,-57.45,0.0,top
C13,112.88,-60.67,0.0,top
C14,112.75,-63.47,0.0,top
C15,129.075,-56.03,180.0,top
C16,120.425,-56.36,90.0,top
C17,117.585,-57.07,180.0,top
C18,87.22,-75.32,0.0,top
C19,89.36,-73.09,90.0,top
C2,132.275,-76.6,270.0,top
C20,127.78,-92.74,0.0,top
C21,127.78,-94.71,0.0,top
C22,95.44,-85.125,180.0,top
C23,98.92,-89.355,270.0,top
C24,94.56,-77.045,180.0,top
C25,94.61,-79.595,180.0,top
C26,106.49,-91.34,270.0,top
C27,122.96,-84.7,0.0,top
C28,106.68,-82.51,180.0,top
C29,108.62,-73.67,90.0,top
C3,142.975,-75.33,0.0,top
C30,114.99,-73.68,180.0,top
C31,123.55,-82.64,0.0,top
C32,116.95,-90.65,225.0,top
C33,92.87,-67.5325,270.0,top
C34,87.69,-69.3025,270.0,top
C35,129.38,-61.8,0.0,top
C36,106.72,-80.99,180.0,top
C4,143.245,-72.05,0.0,top
C5,137.625,-81.46,270.0,top
C6,136.575,-68.9,90.0,top
C7,103.88,-57.66,270.0,top
C8,97.75,-64.75,180.0,top
C9,97.75,-61.74,180.0,top
CARD1,86.05,-60.27,180.0,top
D1,130.825,-71.55,180.0,top
J1,149.9175,-75.045,270.0,top
J2,151.56,-87.22,0.0,top
J3,140.66,-95.64,90.0,top
L1,140.145,-68.67,270.0,top
L2,104.13,-64.7,0.0,top
L3,121.435,-59.8,180.0,top
L4,109.02,-90.76,90.0,top
R1,132.75,-63.17,270.0,top
R10,134.935,-78.57,270.0,top
R11,133.61,-77.29,0.0,top
R12,100.93,-60.1,0.0,top
R13,108.63,-60.7,180.0,top
R14,127.405,-60.75,90.0,top
R15,129.055,-58.13,0.0,top
R16,90.07,-67.54,90.0,top
R17,91.82,-67.54,90.0,top
R18,83.3,-67.66,90.0,top
R19,85.05,-67.66,90.0,top
R2,138.95,-61.7,270.0,top
R20,86.8,-67.66,90.0,top
R21,88.55,-67.66,90.0,top
R22,107.76,-94.93,0.0,top
R3,129.455,-73.23,90.0,top
R4,129.795,-74.68,0.0,top
R5,129.77,-75.51,0.0,top
R6,131.655,-75.13,0.0,top
R7,135.845,-78.61,90.0,top
R8,134.08,-78.585,270.0,top
R9,132.92,-78.06,180.0,top
SW1,102.84,-90.4,0.0,top
SW2,102.84,-94.63,0.0,top
U1,136.315,-73.65,270.0,top
U2,104.18,-60.54,180.0,top
U3,125.8475,-57.16,180.0,top
U4,89.99,-75.65,0.0,top
U5,122.67,-94.33,0.0,top
U6,114.89,-81.74,315.0,top
USB1,137.320001,-56.8025,180.0,top
X1,98.16,-86.27,270.0,top
X2,96.76,-78.395,270.0,top
